country,Region indicator,"Life ladder, 2015-2017","Standard error, life ladder, 2015-2017","Log of GDP per person, 2015-2017","GDP per person, 2015-2017","Healthy life expectancy, 2015-2017","Social support, 2015-2017","Standard error, social support, 2015-2017","Freedom to make life choices, 2015-2017","Standard error, freedom to make life choices, 2015-2017","Generosity, 2015-2017, without adjustment for GDP per person","Standard error, generosity, 2015-2017","Perceptions of corruption, 2015-2017","Standard error, perceptions of corruption, 2015-2017"
Afghanistan,South Asia,3.63151884078979,0.0423598401248455,7.46260976791382,1741.6875,52.0133285522461,0.525074541568756,0.0111189614981413,0.445294231176376,0.0114489644765854,0.179053544998169,0.00833086855709553,0.879704535007477,0.00600907672196627
Albania,Central and Eastern Europe,4.58603954315186,0.0558127872645855,9.33812618255615,11363.095703125,68.8715515136719,0.639576375484467,0.0100780660286546,0.726340234279633,0.00942117813974619,0.259975373744965,0.00904830079525709,0.88677841424942,0.00577496271580458
Algeria,Middle East and North Africa,5.29463768005371,0.0570869967341423,9.54070281982422,13914.7236328125,65.6048583984375,0.776976704597473,0.0111708827316761,0.439177334308624,0.0191614869982004,0.128987744450569,0.0123274447396398,0.698342978954315,0.0192927289754152
Angola,Sub-Saharan Africa,3.79483795166016,0.0799193158745766,8.74195671081543,6260.1328125,52.4607086181641,0.765275478363037,0.0157436858862638,0.374172747135162,0.0183462612330914,0.106828570365906,0.0114986496046185,0.833540439605713,0.0160140935331583
Argentina,Latin America and Caribbean,6.38795757293701,0.0494970045983791,9.84200096130371,18807.310546875,67.3984832763672,0.905564665794373,0.00636328011751175,0.85338968038559,0.00752632180228829,0.16317380964756,0.00777691975235939,0.847881674766541,0.00688114715740085
Armenia,Commonwealth of Independent States,4.32056522369385,0.0465997159481049,9.01890182495117,8257.7041015625,64.9624786376953,0.710184693336487,0.00944276712834835,0.592957973480225,0.0106605682522058,0.12258356064558,0.00690524326637387,0.895624935626984,0.00637943157926202
Australia,North America and ANZ,7.2720513343811,0.0440629497170448,10.7004194259644,44374.46484375,72.6502990722656,0.948141157627106,0.00568495970219374,0.918003737926483,0.00772673403844237,0.694878876209259,0.0121527975425124,0.388529062271118,0.01264388859272
Austria,Western Europe,7.13936233520508,0.0357387736439705,10.7049169540405,44574.48828125,72.0495681762695,0.920177042484283,0.00573523202911019,0.89337158203125,0.00656491704285145,0.509860396385193,0.0103825805708766,0.533494234085083,0.00944864004850388
Azerbaijan,Commonwealth of Independent States,5.20059490203857,0.0353446565568447,9.68574523925781,16086.6533203125,62.9697494506836,0.779933214187622,0.00902878493070602,0.735739469528198,0.00975925102829933,0.10410862416029,0.00617749243974686,0.620859324932098,0.011188980191946
Bahrain,Middle East and North Africa,6.10506868362427,0.0440324433147907,10.6934127807617,44064.6328125,65.9767913818359,0.86359828710556,0.00703015830367804,0.874140799045563,0.00627932790666819,0.510673224925995,0.0101229697465897,,
Bangladesh,South Asia,4.50039052963257,0.0421175099909306,8.1066255569458,3316.3681640625,62.2035598754883,0.652717888355255,0.00991512835025787,0.861735761165619,0.00741370720788836,0.170758500695229,0.00809679459780455,0.681194186210632,0.00934477243572474
